date_policy,country,med_est,high_est,low_est,sd_est
2020-01-01,Russia,-0.185841,-0.18555985,-0.18804905,7.383379765478558e-4
2020-01-01,Rwanda,-0.185548,-0.18448060000000002,-0.18717605,8.801855804403051e-4
2020-01-01,San Marino,-0.18572149999999998,-0.18498879999999998,-0.18644,5.125422410613395e-4
2020-01-01,Saudi Arabia,-0.186209,-0.1856043,-0.18658,4.2842137196326586e-4
2020-01-01,Senegal,-0.18622450000000002,-0.18526495000000004,-0.187887,7.62851178832651e-4
2020-01-01,Serbia,-0.18528,-0.18468435,-0.18738065,9.295785816392057e-4
2020-01-01,Seychelles,-0.187469,-0.18536,-0.188264,0.0010360363962892856
2020-01-01,Sierra Leone,-0.187072,-0.18598774999999998,-0.18795355,6.715218963243919e-4
2020-01-01,Singapore,-0.185294,-0.185101,-0.18585915,3.6036514125443406e-4
2020-01-01,Slovakia,-0.185679,-0.183723,-0.18681915000000002,7.297247446820294e-4
2020-01-01,Slovenia,-0.18637599999999999,-0.18548,-0.186981,5.753165259283498e-4
2020-01-01,Somalia,-0.1867045,-0.184924,-0.18752035,7.562209806151611e-4
2020-01-01,South Africa,-0.187285,-0.185085,-0.187997,9.82860865864477e-4
2020-01-01,South Korea,-0.183809,-0.18336595,-0.186812,0.001159238473555562
2020-01-01,South Sudan,-0.184575,-0.1840629,-0.185092,5.028586827636837e-4
2020-01-01,Spain,-0.1862525,-0.18559565,-0.186864,5.400811422316422e-4
2020-01-01,Sri Lanka,-0.185231,-0.18433,-0.1871292,7.589973827144724e-4
2020-01-01,Sudan,-0.186223,-0.184574,-0.186697,6.204574549291782e-4
2020-01-01,Suriname,-0.186177,-0.184811,-0.189061,0.0014576979223851784
2020-01-01,Sweden,-0.1854045,-0.1844519,-0.18713744999999998,8.473218393997704e-4
2020-01-01,Switzerland,-0.1850035,-0.18453875000000003,-0.18692,7.539352630878318e-4
2020-01-01,Syria,-0.187681,-0.18480965,-0.18848425000000002,0.0012367288011778928
2020-01-01,Taiwan,-0.18513,-0.184563,-0.186327,5.247947469402108e-4
2020-01-01,Tajikistan,-0.185014,-0.184621,-0.188039,9.860982821447725e-4
2020-01-01,Tanzania,-0.1865465,-0.18456865,-0.187103,6.663685565260155e-4
2020-01-01,Thailand,-0.18651,-0.1855806,-0.18750635,6.652063750472556e-4
2020-01-01,Timor Leste,-0.18597,-0.1851814,-0.18681805,5.652696776450268e-4
2020-01-01,Togo,-0.185907,-0.184651,-0.1869847,6.47105652338333e-4
2020-01-01,Tonga,-0.1852395,-0.184066,-0.1864844,7.883313040768253e-4
2020-01-01,Trinidad and Tobago,-0.184365,-0.183779,-0.186414,8.919619184330888e-4
2020-01-01,Tunisia,-0.184879,-0.184557,-0.186489,6.920392371521606e-4
2020-01-01,Turkey,-0.185349,-0.18443589999999999,-0.18757145,9.452121330075656e-4
2020-01-01,Turkmenistan,-0.1857725,-0.18504095000000004,-0.18602775000000002,3.72523749087337e-4
2020-01-01,Uganda,-0.1865115,-0.1848689,-0.187283,7.301083290892616e-4
2020-01-01,Ukraine,-0.1852075,-0.1841492,-0.18756860000000003,0.0011206459052064072
2020-01-01,United Arab Emirates,-0.185629,-0.18475395,-0.1863346,6.095735516631428e-4
2020-01-01,United Kingdom,-0.1854745,-0.18451580000000004,-0.18653725000000002,6.642485046764599e-4
2020-01-01,United States of America,-0.185209,-0.184726,-0.1874626,7.873539788836463e-4
2020-01-01,Uruguay,-0.18608249999999998,-0.184486,-0.188618,0.00116226873709863
2020-01-01,Uzbekistan,-0.18552849999999999,-0.1849596,-0.18631414999999998,4.7849267637772516e-4
2020-01-01,Vanuatu,-0.184865,-0.1844839,-0.186119,5.540480673154537e-4
2020-01-01,Venezuela,-0.186373,-0.1855716,-0.187726,6.080616719274192e-4
2020-01-01,Vietnam,-0.185826,-0.1849508,-0.186917,6.38376814403468e-4
2020-01-01,Yemen,-0.1870615,-0.183788,-0.18741505,0.001287421233230671
2020-01-01,Zambia,-0.1854595,-0.1839367,-0.186337,8.654023862489129e-4
2020-01-01,Zimbabwe,-0.186317,-0.18425550000000002,-0.186916,7.87609318151358e-4
2020-01-02,Afghanistan,-0.185692,-0.18525775,-0.186857,4.917283720953662e-4
2020-01-02,Albania,-0.1872365,-0.183654,-0.18761705,0.0011562621603478948
2020-01-02,Algeria,-0.18643549999999998,-0.1854577,-0.18720705,6.377781968254048e-4
2020-01-02,Andorra,-0.1865195,-0.18505890000000003,-0.187033,5.53613249457541e-4
2020-01-02,Angola,-0.185458,-0.18432,-0.18687025,6.177920969317491e-4
2020-01-02,Argentina,-0.186492,-0.18563179999999999,-0.187025,4.680331489020594e-4
2020-01-02,Australia,-0.18612849999999997,-0.1855603,-0.18687645,4.7619261224176294e-4
2020-01-02,Austria,-0.186363,-0.18540095,-0.1868723,6.161328663659245e-4
2020-01-02,Azerbaijan,-0.18552649999999998,-0.18431550000000002,-0.18769829999999998,9.501928376238586e-4
2020-01-02,Bahamas,-0.186713,-0.18414395,-0.1871884,8.983069824288639e-4
2020-01-02,Bahrain,-0.184693,-0.1837403,-0.18633,8.827480843655956e-4
2020-01-02,Bangladesh,-0.182787,-0.18243295,-0.18697515,0.0015868017556939595
2020-01-02,Barbados,-0.185408,-0.18473,-0.186426,5.74566603361173e-4
2020-01-02,Belarus,-0.185778,-0.184359,-0.187538,8.386108721344814e-4
2020-01-02,Belgium,-0.1863435,-0.184802,-0.1871889,6.18577447163327e-4
2020-01-02,Belize,-0.186272,-0.1859957,-0.186699,3.6894857175017056e-4
2020-01-02,Benin,-0.18475350000000001,-0.184018,-0.1870791,0.001016938021932079
2020-01-02,Bhutan,-0.185194,-0.18349464999999998,-0.186541,8.451882974493696e-4
