"","data.percent_covid","data.percent_covid_unw","data.iso_code","data.gid_0","data.percent_contact","data.percent_contact_unw","data.percent_mask","data.percent_mask_unw","data.pct_anxious_7d","data.pct_anxious_7d_unw","data.percent_finance","data.percent_finance_unw","country","date"
"11508",0,0,"ITA","ITA",0.56346,0.599094,0.895097,0.884405,0.038446,0.042949,0.396223,0.407082,"Italy",2020-07-06
"11509",0.000919,0.001146,"ITA","ITA",0.526048,0.55909,0.890418,0.879614,0.039079,0.047241,0.381634,0.406596,"Italy",2020-07-07
"11510",0.000936,0.001232,"ITA","ITA",0.533708,0.570439,0.893324,0.881454,0.032966,0.042996,0.383735,0.4,"Italy",2020-07-08
"11511",0.000959,0.000812,"ITA","ITA",0.534085,0.576159,0.884675,0.877391,0.041005,0.045878,0.381303,0.394772,"Italy",2020-07-09
"11512",0.001831,0.001583,"ITA","ITA",0.526659,0.570771,0.893894,0.888176,0.039007,0.048839,0.368237,0.385371,"Italy",2020-07-10
"11513",0.001007,0.001041,"ITA","ITA",0.56196,0.595012,0.884281,0.877358,0.037452,0.042841,0.37846,0.379776,"Italy",2020-07-11
"11514",0.001589,0.001374,"ITA","ITA",0.591682,0.623551,0.883141,0.86896,0.037244,0.045093,0.36544,0.37772,"Italy",2020-07-12
"11515",0.001584,0.001613,"ITA","ITA",0.566167,0.597436,0.871876,0.867205,0.040162,0.043614,0.376267,0.387578,"Italy",2020-07-13
"11516",0.000867,0.001188,"ITA","ITA",0.537963,0.574995,0.872542,0.866794,0.038999,0.046012,0.381239,0.394057,"Italy",2020-07-14
"11517",0.001089,0.0012,"ITA","ITA",0.550554,0.576096,0.880132,0.871058,0.034028,0.039719,0.372985,0.393446,"Italy",2020-07-15
"11518",0.002591,0.001236,"ITA","ITA",0.564845,0.599345,0.87965,0.875194,0.038558,0.046543,0.365459,0.385348,"Italy",2020-07-16
"11519",0.000308,0.00044,"ITA","ITA",0.539294,0.576441,0.885508,0.879564,0.036311,0.04372,0.365318,0.392693,"Italy",2020-07-17
"11520",0.001554,0.001227,"ITA","ITA",0.573091,0.610762,0.875568,0.870612,0.040804,0.04571,0.373495,0.385689,"Italy",2020-07-18
"11521",0.00145,0.001136,"ITA","ITA",0.582074,0.614703,0.877654,0.871299,0.041766,0.04734,0.361462,0.37852,"Italy",2020-07-19
"11522",0.001179,0.001758,"ITA","ITA",0.582213,0.621203,0.868714,0.86204,0.038311,0.043506,0.368411,0.390223,"Italy",2020-07-20
"11523",0.001761,0.001305,"ITA","ITA",0.55926,0.592607,0.879476,0.875551,0.040705,0.045529,0.357116,0.386489,"Italy",2020-07-21
"11524",0.000868,0.001154,"ITA","ITA",0.547438,0.585865,0.883409,0.876724,0.044598,0.051536,0.362239,0.384939,"Italy",2020-07-22
"11525",0.001135,0.001411,"ITA","ITA",0.554962,0.59452,0.877284,0.875,0.043395,0.048398,0.370607,0.389639,"Italy",2020-07-23
"11526",0.001071,0.0014,"ITA","ITA",0.552265,0.590601,0.883684,0.880432,0.039162,0.045926,0.381592,0.390157,"Italy",2020-07-24
"11527",0.001463,0.002257,"ITA","ITA",0.577105,0.617653,0.877971,0.873526,0.037816,0.046221,0.370117,0.385367,"Italy",2020-07-25
"11528",0.000433,0.000917,"ITA","ITA",0.611126,0.642843,0.886413,0.874926,0.040353,0.045783,0.344989,0.366498,"Italy",2020-07-26
"11529",0.00186,0.001742,"ITA","ITA",0.573236,0.613758,0.880238,0.867503,0.034375,0.04386,0.357912,0.390254,"Italy",2020-07-27
"11530",0.001274,0.00154,"ITA","ITA",0.558684,0.595442,0.883905,0.87712,0.041204,0.045598,0.335024,0.37827,"Italy",2020-07-28
"11531",0.001004,0.001351,"ITA","ITA",0.575695,0.603142,0.893004,0.886506,0.042445,0.048801,0.368602,0.390805,"Italy",2020-07-29
"11532",0.000932,0.000983,"ITA","ITA",0.593244,0.624054,0.894975,0.883639,0.041981,0.054903,0.365542,0.383506,"Italy",2020-07-30
"11533",0.001456,0.001385,"ITA","ITA",0.536639,0.584699,0.890966,0.882264,0.045697,0.051732,0.371276,0.398288,"Italy",2020-07-31
"11534",0.003313,0.001763,"ITA","ITA",0.576834,0.611088,0.89418,0.888538,0.037712,0.044425,0.351159,0.374432,"Italy",2020-08-01
"11535",0.00127,0.001452,"ITA","ITA",0.58237,0.618479,0.889538,0.882745,0.037236,0.044262,0.359662,0.373304,"Italy",2020-08-02
"11536",0.000942,0.001293,"ITA","ITA",0.576145,0.609541,0.894023,0.889555,0.033929,0.043037,0.365216,0.381759,"Italy",2020-08-03
"11537",0.000894,0.001564,"ITA","ITA",0.558305,0.593698,0.898164,0.893532,0.039068,0.042347,0.361084,0.37988,"Italy",2020-08-04
"11538",0.000679,0.001119,"ITA","ITA",0.567105,0.600158,0.902349,0.896586,0.041231,0.045958,0.348191,0.36799,"Italy",2020-08-05
"11539",0.001773,0.002298,"ITA","ITA",0.569339,0.595006,0.90562,0.899005,0.042758,0.047427,0.368399,0.385313,"Italy",2020-08-06
"11540",0.001912,0.001578,"ITA","ITA",0.563497,0.604954,0.892697,0.894206,0.038566,0.046649,0.361982,0.370947,"Italy",2020-08-07
"11541",0.001565,0.001649,"ITA","ITA",0.574631,0.609647,0.892095,0.89763,0.042628,0.048652,0.342807,0.369243,"Italy",2020-08-08
"11542",0.004973,0.002384,"ITA","ITA",0.573107,0.620803,0.872568,0.881935,0.040026,0.044905,0.360895,0.359249,"Italy",2020-08-09
"11543",0.001628,0.002075,"ITA","ITA",0.571183,0.612021,0.882102,0.878646,0.039788,0.04327,0.361664,0.375468,"Italy",2020-08-10
"11544",0.001047,0.001741,"ITA","ITA",0.555466,0.592959,0.894507,0.893755,0.038634,0.048097,0.370926,0.38132,"Italy",2020-08-11
"11545",0.00153,0.001995,"ITA","ITA",0.554676,0.58836,0.892714,0.887313,0.038463,0.045984,0.346028,0.368843,"Italy",2020-08-12
"11546",0.001197,0.001959,"ITA","ITA",0.55178,0.596518,0.880424,0.883114,0.036619,0.043316,0.373873,0.392759,"Italy",2020-08-13
"11547",0.000813,0.001275,"ITA","ITA",0.541616,0.585207,0.887857,0.887997,0.037341,0.045164,0.374961,0.377983,"Italy",2020-08-14
"11548",0.002597,0.002265,"ITA","ITA",0.570746,0.606328,0.872884,0.882774,0.042709,0.048572,0.33986,0.358025,"Italy",2020-08-15
"11549",0.002241,0.002512,"ITA","ITA",0.591071,0.630958,0.885454,0.876902,0.040874,0.046432,0.380082,0.381918,"Italy",2020-08-16
"11550",0.001996,0.002392,"ITA","ITA",0.579018,0.618716,0.88532,0.881691,0.038446,0.046318,0.382791,0.404339,"Italy",2020-08-17
"11551",0.001114,0.002064,"ITA","ITA",0.537737,0.588374,0.896156,0.890034,0.044719,0.044954,0.374154,0.396845,"Italy",2020-08-18
"11552",0.000905,0.001328,"ITA","ITA",0.53742,0.579324,0.897424,0.905345,0.03106,0.042384,0.37164,0.390667,"Italy",2020-08-19
"11553",0.002325,0.002509,"ITA","ITA",0.565247,0.594828,0.908805,0.909646,0.041118,0.04614,0.359267,0.38664,"Italy",2020-08-20
"11554",0.003869,0.003479,"ITA","ITA",0.545944,0.583125,0.908089,0.908736,0.039513,0.041919,0.367148,0.372491,"Italy",2020-08-21
"11555",0.002254,0.002629,"ITA","ITA",0.553144,0.593134,0.902374,0.911297,0.032515,0.039925,0.342538,0.368934,"Italy",2020-08-22
"11556",0.004815,0.00229,"ITA","ITA",0.576985,0.621085,0.906734,0.90695,0.037139,0.043186,0.360183,0.378165,"Italy",2020-08-23
"11557",0.001272,0.002445,"ITA","ITA",0.571568,0.619097,0.908792,0.909809,0.037485,0.044894,0.366549,0.400036,"Italy",2020-08-24
"11558",0.002083,0.002493,"ITA","ITA",0.538926,0.580656,0.899848,0.906691,0.034172,0.044097,0.359709,0.383165,"Italy",2020-08-25
"11559",0.002617,0.002661,"ITA","ITA",0.54472,0.581729,0.916623,0.920635,0.032966,0.042387,0.373452,0.392086,"Italy",2020-08-26
"11560",0.002736,0.003247,"ITA","ITA",0.552209,0.57911,0.905506,0.918357,0.034091,0.038736,0.372523,0.380483,"Italy",2020-08-27
"11561",0.001714,0.002865,"ITA","ITA",0.541894,0.574097,0.91609,0.919042,0.042584,0.046228,0.361848,0.375046,"Italy",2020-08-28
"11562",0.002229,0.002452,"ITA","ITA",0.546027,0.585513,0.923345,0.928509,0.040145,0.051374,0.352648,0.369991,"Italy",2020-08-29
"11563",0.003306,0.003192,"ITA","ITA",0.586226,0.62132,0.917601,0.917101,0.045758,0.04943,0.337249,0.358551,"Italy",2020-08-30
"11564",0.001923,0.002302,"ITA","ITA",0.544531,0.589638,0.931639,0.92909,0.034695,0.043614,0.362315,0.383492,"Italy",2020-08-31
"11565",0.003521,0.003153,"ITA","ITA",0.52057,0.562072,0.930019,0.933879,0.028253,0.036275,0.356277,0.374262,"Italy",2020-09-01
"11566",0.001831,0.002441,"ITA","ITA",0.551194,0.569096,0.93699,0.939854,0.039274,0.044412,0.349895,0.375258,"Italy",2020-09-02
"11567",0.002579,0.002764,"ITA","ITA",0.530115,0.564081,0.922579,0.923552,0.036884,0.042046,0.346335,0.36423,"Italy",2020-09-03
"11568",0.003285,0.003863,"ITA","ITA",0.530215,0.558877,0.927811,0.931703,0.035335,0.040802,0.342245,0.360151,"Italy",2020-09-04
